id,Time,Type,Notes
143,6:57AM 04-06-2017,Poo And Pee,Small poo
144,9:38AM 04-06-2017,Poo And Pee,
145,11:03AM 04-06-2017,Poo And Pee,
146,12:55PM 04-06-2017,Pee,
147,4:35PM 04-06-2017,Pee,
148,6:43PM 04-06-2017,Pee,
149,7:09PM 04-06-2017,Poo And Pee,
150,10:36PM 04-06-2017,Poo And Pee,
151,3:12AM 04-07-2017,Pee,
152,6:07AM 04-07-2017,Pee,
153,6:26AM 04-07-2017,Poo And Pee,
154,7:45AM 04-07-2017,Poo And Pee,
155,9:42AM 04-07-2017,Pee,
156,12:24PM 04-07-2017,Pee,
157,3:27PM 04-07-2017,Poo And Pee,
158,4:30PM 04-07-2017,Pee,
159,6:58PM 04-07-2017,Poo And Pee,
160,8:55PM 04-07-2017,Poo And Pee,
161,11:47PM 04-07-2017,Poo And Pee,
162,3:43AM 04-08-2017,Pee,
163,6:13AM 04-08-2017,Poo And Pee,
164,9:50AM 04-08-2017,Poo And Pee,
165,2:25PM 04-08-2017,Poo And Pee,
166,4:06PM 04-08-2017,Pee,
167,5:32PM 04-08-2017,Poo And Pee,
168,7:50PM 04-08-2017,Pee,
169,10:38PM 04-08-2017,Pee,
170,2:45AM 04-09-2017,Poo And Pee,
171,6:48AM 04-09-2017,Poo And Pee,Poo leaked out leg - pampers size 1
172,9:15AM 04-09-2017,Poo And Pee,
173,1:12PM 04-09-2017,Pee,
174,2:35PM 04-09-2017,Pee,
175,4:23PM 04-09-2017,Poo And Pee,
176,6:44PM 04-09-2017,Poo And Pee,Small poo
178,9:00PM 04-09-2017,Poo And Pee,
177,10:17PM 04-09-2017,Pee,
179,1:34AM 04-10-2017,Pee,
180,4:39AM 04-10-2017,Poo,
181,6:47AM 04-10-2017,Pee,
182,8:22AM 04-10-2017,Pee,
183,9:12AM 04-10-2017,Poo And Pee,Little scoot
184,10:06AM 04-10-2017,Poo And Pee,
185,11:00AM 04-10-2017,Poo And Pee,
186,1:39PM 04-10-2017,Poo And Pee,
187,3:36PM 04-10-2017,Poo And Pee,Small poo. Quite green?
188,7:54PM 04-10-2017,Poo And Pee,Small poo
189,8:22PM 04-10-2017,Poo And Pee,
190,9:35PM 04-10-2017,Pee,
191,2:36AM 04-11-2017,Poo And Pee,Small poo
192,5:24AM 04-11-2017,Poo And Pee,
193,8:43AM 04-11-2017,Pee,
194,9:20AM 04-11-2017,Poo And Pee,
195,10:27AM 04-11-2017,Pee,
196,1:13PM 04-11-2017,Pee,
197,4:59PM 04-11-2017,Pee,
198,6:57PM 04-11-2017,Pee,
199,9:01PM 04-11-2017,Poo And Pee,A little shard
200,10:00PM 04-11-2017,Poo,
201,1:58AM 04-12-2017,Pee,
202,4:55AM 04-12-2017,Poo And Pee,
203,7:47AM 04-12-2017,Pee,
204,9:29AM 04-12-2017,Pee,
205,11:37AM 04-12-2017,Poo And Pee,
206,1:46PM 04-12-2017,Poo,
207,2:37PM 04-12-2017,Pee,
208,4:35PM 04-12-2017,Pee,
209,6:45PM 04-12-2017,Pee,
210,9:36PM 04-12-2017,Pee,
211,1:48AM 04-13-2017,Pee,
212,4:09AM 04-13-2017,Poo And Pee,
213,6:27AM 04-13-2017,Pee,
214,8:16AM 04-13-2017,Pee,
215,11:12AM 04-13-2017,Poo And Pee,
216,1:49PM 04-13-2017,Pee,
217,3:40PM 04-13-2017,Pee,
218,6:52PM 04-13-2017,Pee,
219,8:05PM 04-13-2017,Poo And Pee,
220,12:39AM 04-14-2017,Pee,
221,4:56AM 04-14-2017,Poo And Pee,
222,7:54AM 04-14-2017,Poo And Pee,
223,9:50AM 04-14-2017,Poo And Pee,
224,10:50AM 04-14-2017,Poo And Pee,
225,12:23PM 04-14-2017,Pee,
226,1:03PM 04-14-2017,Poo,
227,1:48PM 04-14-2017,Pee,
228,5:24PM 04-14-2017,Pee,
229,5:50PM 04-14-2017,Poo,
230,7:58PM 04-14-2017,Poo And Pee,Small green poo
231,8:41PM 04-14-2017,Poo And Pee,
232,1:00AM 04-15-2017,Pee,Plus little skiff of poo
233,4:56AM 04-15-2017,Pee,
234,8:44AM 04-15-2017,Poo And Pee,
235,9:39AM 04-15-2017,Pee,
237,3:03PM 04-15-2017,Poo And Pee,
236,5:13PM 04-15-2017,Poo And Pee,
238,6:44PM 04-15-2017,Poo And Pee,Small poo
239,12:10AM 04-16-2017,Pee,
240,3:02AM 04-16-2017,Pee,
241,7:17AM 04-16-2017,Poo And Pee,
243,9:10AM 04-16-2017,Pee,
242,1:35PM 04-16-2017,Poo And Pee,
244,3:04PM 04-16-2017,Poo And Pee,Poosplosion 
245,5:35PM 04-16-2017,Pee,
246,8:02PM 04-16-2017,Pee,
247,10:10PM 04-16-2017,Poo And Pee,
248,11:02PM 04-16-2017,Pee,
249,3:55AM 04-17-2017,Pee,
250,7:23AM 04-17-2017,Pee,
251,11:57AM 04-17-2017,Poo And Pee,
252,2:16PM 04-17-2017,Pee,
253,3:50PM 04-17-2017,Pee,
254,7:08PM 04-17-2017,Pee,
255,8:23PM 04-17-2017,Poo And Pee,
256,9:55PM 04-17-2017,Pee,
257,10:45PM 04-17-2017,Pee,
258,4:03AM 04-18-2017,Poo And Pee,Small poo
259,6:42AM 04-18-2017,Pee,
260,8:27AM 04-18-2017,Poo And Pee,
261,9:35AM 04-18-2017,Poo And Pee,
262,10:40AM 04-18-2017,Pee,
263,1:32PM 04-18-2017,Poo And Pee,
264,3:03PM 04-18-2017,Poo And Pee,
265,4:26PM 04-18-2017,Pee,
266,7:33PM 04-18-2017,Pee,
267,9:14PM 04-18-2017,Pee,
269,2:44AM 04-19-2017,Pee,
268,5:52AM 04-19-2017,Poo And Pee,
270,9:38AM 04-19-2017,Pee,
271,9:53AM 04-19-2017,Poo And Pee,
272,12:23PM 04-19-2017,Pee,
274,1:30PM 04-19-2017,Poo And Pee,
273,3:20PM 04-19-2017,Poo And Pee,
275,7:25PM 04-19-2017,Pee,
276,9:25PM 04-19-2017,Pee,
277,2:34AM 04-20-2017,Pee,
278,6:02AM 04-20-2017,Poo And Pee,
279,9:34AM 04-20-2017,Pee,
281,11:00AM 04-20-2017,Poo And Pee,Mini poop
280,12:50PM 04-20-2017,Poo And Pee,
282,1:50PM 04-20-2017,Poo And Pee,
283,3:38PM 04-20-2017,Pee,
284,5:45PM 04-20-2017,Pee,
285,3:20AM 04-21-2017,Poo And Pee,
286,7:12AM 04-21-2017,Poo And Pee,
287,9:28AM 04-21-2017,Pee,
