id,Start Time,End Time,Feeding History ID
199,1490553531624,1490553577141,103
200,1490568127651,1490568510419,105
201,1490569692535,1490569709632,106
202,1490576340337,1490576345136,107
203,1490576403174,1490576476945,107
204,1490576811830,1490576950169,107
205,1490577328505,1490577343270,107
206,1490577385107,1490577458950,107
207,1490577506756,1490577572923,107
208,1490578519951,1490578987048,108
209,1490583709422,1490583724790,109
210,1490583866576,1490583877420,109
211,1490584122862,1490584446369,109
212,1490584754162,1490584818282,109
213,1490584973681,1490585259116,109
214,1490585366843,1490585416264,109
215,1490585780840,1490585797204,109
216,1490601133964,1490601379386,112
217,1490601813328,1490601889683,112
218,1490601919137,1490601956070,112
219,1490602078867,1490602324885,112
220,1490610625684,1490610726498,115
221,1490626071404,1490626175882,117
222,1490626959578,1490627080757,117
223,1490649199405,1490649274284,123
224,1490660486115,1490660516063,125
225,1490660803425,1490661409038,125
226,1490662923218,1490662937343,126
227,1490663011954,1490663034620,126
228,1490663214535,1490663263436,126
229,1490663553017,1490663564296,126
230,1490663761650,1490663956695,126
231,1490671598359,1490671606113,127
232,1490674217032,1490674242596,128
233,1490674490571,1490674638430,128
234,1490674696231,1490674717025,128
235,1490674949352,1490674983825,128
236,1490674995561,1490675042014,128
237,1490675165328,1490675309535,128
238,1490675402770,1490675423678,128
239,1490675455635,1490675485602,128
240,1490675672582,1490675682734,128
241,1490676336372,1490676355043,129
242,1490676447228,1490676457745,129
243,1490705605952,1490705665248,131
244,1490707249905,1490707296472,132
245,1490707493626,1490707512011,132
246,1490707637353,1490707683573,132
247,1490707761497,1490707803833,132
248,1490718054618,1490718245429,133
249,1490718336606,1490718957357,133
250,1490719433611,1490719491876,133
251,1490720146173,1490720367116,133
252,1490720514106,1490720563418,133
253,1490720692681,1490720708613,133
254,1490720761437,1490720771251,133
255,1490720881980,1490720942534,133
256,1490725439613,1490725468913,134
257,1490725514433,1490725531217,134
258,1490746628238,1490746663722,139
259,1490746782567,1490746965014,139
260,1490759005273,1490759016010,142
261,1490759241128,1490759253828,142
262,1490759297581,1490759353334,142
263,1490759503335,1490759523868,142
264,1490759608275,1490759724681,142
265,1490759802595,1490759819626,142
266,1490759894451,1490759996022,142
267,1490760106438,1490760125835,142
268,1490760377392,1490760385440,142
269,1490761150418,1490761182118,143
270,1490761427947,1490761438000,143
271,1490761504183,1490761588184,143
272,1490761681681,1490761700243,143
273,1490774231620,1490774338652,146
274,1490777076930,1490777141178,147
275,1490777235521,1490777249569,147
276,1490777337229,1490777403516,147
277,1490777572575,1490777751855,147
278,1490778290154,1490778364691,148
279,1490792330430,1490792345620,149
280,1490792387560,1490792423626,149
281,1490794915215,1490794924913,150
282,1490795034191,1490795045874,150
283,1490805339311,1490805360204,152
284,1490805466381,1490805479481,152
285,1490805548057,1490805596924,152
286,1490805627797,1490805640690,152
287,1490805744810,1490805762377,152
288,1490805781882,1490805810597,152
289,1490817104779,1490817116335,154
290,1490827518411,1490827527540,157
291,1490829166421,1490829188652,158
292,1490829312216,1490829528544,158
293,1490829872094,1490829897894,158
294,1490838409764,1490838499058,159
295,1490838571165,1490838625417,159
296,1490838660973,1490838690922,159
297,1490838804086,1490838830337,159
298,1490839084894,1490839096609,159
299,1490839160618,1490839163215,159
300,1490839164885,1490839183534,159
301,1490839239758,1490839312649,159
302,1490839343867,1490839348514,159
303,1490839357685,1490839416236,159
304,1490839539934,1490839611370,159
305,1490841223869,1490841231631,160
306,1490841269347,1490841281705,160
307,1490841339264,1490841376946,160
308,1490841510161,1490841528715,160
309,1490841580886,1490841646893,160
310,1490841722782,1490841752600,160
311,1490854493684,1490854505106,162
312,1490854859881,1490854978051,162
313,1490855034107,1490855108561,162
314,1490855176321,1490855218353,162
315,1490855347284,1490855394953,162
316,1490855598315,1490855608415,162
317,1490855631920,1490855677103,162
318,1490856762067,1490856772440,163
319,1490872223322,1490872269527,166
320,1490872457718,1490872560854,166
321,1490872686531,1490872814846,166
322,1490879306801,1490879322856,167
323,1490879399367,1490879459369,167
324,1490879617904,1490879681591,167
325,1490879898669,1490879942667,167
326,1490880000173,1490880016438,167
327,1490880020309,1490880034524,167
328,1490880960862,1490881056880,168
329,1490881091985,1490881132269,168
330,1490881195627,1490881205792,168
331,1490891475571,1490891597730,169
332,1490892422903,1490892436285,170
333,1490892496663,1490892512709,170
334,1490901902209,1490901921856,171
335,1490902091724,1490902146243,171
336,1490902334060,1490902366627,171
337,1490902471872,1490902593464,171
338,1490902658956,1490902731426,171
339,1490902853239,1490902878560,171
340,1490903016991,1490903046375,171
341,1490903173704,1490903324580,171
342,1490911789755,1490911825779,173
343,1490912128005,1490912179279,173
344,1490912589991,1490912616231,173
345,1490912715525,1490912748177,173
346,1490913281540,1490913295222,174
347,1490913463103,1490913531341,174
348,1490913931878,1490914059805,174
349,1490922532622,1490922554761,175
350,1490923112595,1490923119881,175
351,1490923188879,1490923201065,175
352,1490923282438,1490923358593,175
353,1490923442786,1490923498453,175
354,1490924818132,1490924826390,176
355,1490924941767,1490924952900,176
356,1490925054294,1490925070960,176
357,1490925089763,1490925107433,176
358,1490925167888,1490925214322,176
359,1490925276547,1490925303763,176
360,1490925340469,1490925359651,176
361,1490931370559,1490931393166,177
362,1490931422268,1490931562480,177
363,1490931624654,1490931849550,177
364,1490931927285,1490931975516,177
365,1490932087760,1490932103977,177
366,1490932127814,1490932175165,177
367,1490932386952,1490932430503,177
368,1490932458860,1490932465541,177
369,1490932519600,1490932553882,177
370,1490933149706,1490933164188,178
371,1490956864218,1490956873300,183
372,1490957124802,1490957140050,183
373,1490957176008,1490957188355,183
374,1490957522988,1490957551884,183
375,1490968555379,1490968872207,184
376,1490969104303,1490969113368,184
377,1490969164625,1490969175073,184
378,1490981597556,1490981706855,185
379,1490981835565,1490981913703,185
380,1490982726704,1490982793005,186
381,1490982923403,1490982943319,186
382,1490983104018,1490983112433,186
383,1490992408359,1490992414466,187
384,1490992477788,1490992503345,187
385,1490992577417,1490992585564,187
386,1490998598175,1490998609638,189
387,1490998652127,1490998659157,189
388,1490999055048,1490999110609,189
389,1490999163401,1490999359842,189
390,1490999362582,1490999519243,189
391,1490999591020,1490999602817,189
392,1490999757236,1490999767531,189
393,1490999804651,1490999849803,189
394,1491000200332,1491000230302,189
395,1491000238909,1491000247206,189
396,1491001535505,1491001553323,190
397,1491010634851,1491010679099,191
398,1491010885021,1491010907253,191
399,1491010992647,1491011070184,191
400,1491011683670,1491011746174,192
401,1491011776412,1491011785477,192
402,1491011830570,1491011848034,192
403,1491011858388,1491011897605,192
404,1491011933309,1491011944926,192
405,1491012022152,1491012044851,192
406,1491012681026,1491012744795,193
407,1491014929025,1491014939786,194
408,1491015200759,1491015209609,194
409,1491015594509,1491015628876,194
410,1491018598393,1491018618607,195
411,1491018647763,1491018656477,195
412,1491018698667,1491018721049,195
413,1491018768273,1491018793289,195
414,1491018823578,1491018890331,195
415,1491019145272,1491019197574,195
416,1491019252531,1491019263945,195
417,1491020560401,1491020596364,196
418,1491021962177,1491022031467,197
419,1491022087808,1491022096560,197
420,1491045341817,1491045778002,200
421,1491045816927,1491046047975,200
422,1491046360738,1491046567987,200
423,1491057262341,1491057297139,201
424,1491059609979,1491059631325,202
425,1491063558118,1491063621361,203
426,1491063736911,1491063742123,203
427,1491063751309,1491063762925,203
428,1491063822866,1491063835615,203
429,1491063931211,1491063957907,203
430,1491064012882,1491064021796,203
431,1491064043917,1491064077839,203
432,1491080880867,1491080914107,206
433,1491081015703,1491081022283,206
434,1491081109557,1491081126343,206
435,1491081166766,1491081183197,206
436,1491081206269,1491081331592,206
437,1491081517279,1491081526527,206
438,1491081559034,1491081597865,206
439,1491081648938,1491081998133,206
440,1491082306943,1491082329360,206
441,1491082351647,1491082438720,206
442,1491082457826,1491082475358,206
443,1491090047111,1491090090075,209
444,1491090161525,1491090267024,209
445,1491090316549,1491090400970,209
446,1491090441091,1491090468325,209
447,1491090518466,1491090581549,209
448,1491090633439,1491090703210,209
449,1491092886257,1491092896370,210
450,1491092939342,1491092947156,210
451,1491093206416,1491093220197,210
452,1491093299890,1491093304519,210
453,1491098116581,1491098134228,211
454,1491098164301,1491098239621,211
455,1491098258827,1491098314799,211
456,1491098408603,1491098470490,211
457,1491098551719,1491098623887,211
458,1491098756033,1491098796651,211
459,1491098886769,1491098964949,211
460,1491099164126,1491099244756,211
461,1491099258120,1491099266787,211
462,1491103800858,1491103816402,212
463,1491105817919,1491105900272,213
464,1491106118526,1491106138058,213
465,1491106203099,1491106396915,213
466,1491107554061,1491107580593,214
467,1491109540466,1491109551772,215
468,1491109791618,1491109799562,215
469,1491109823632,1491109881552,215
470,1491109959766,1491109969213,215
471,1491110204196,1491110341358,215
472,1491110886800,1491110987244,216
473,1491111126792,1491111582163,216
474,1491111676540,1491111735159,216
475,1491111830485,1491111988291,216
476,1491123711119,1491123819157,218
477,1491123934172,1491123969353,218
478,1491134265854,1491134270873,219
479,1491134550090,1491134565392,219
480,1491134611546,1491134620812,219
481,1491134667318,1491134695817,219
